# time_ns ram_addr data nMRD nMWR Q SC
962375 00E6 00 1 1 1 01
964375 00E6 00 1 1 1 01
966375 00E6 00 1 1 1 01
968375 00E6 00 1 1 1 01
970375 00E6 00 1 1 1 01
972375 00E6 00 1 1 1 01
974375 00E6 00 1 1 1 01
976375 00E6 00 1 1 1 01
978375 00E6 00 1 1 1 01
980375 00E6 00 1 1 1 01
982375 00E6 00 1 1 1 01
984375 00E6 00 1 1 1 01
986375 00E6 00 1 1 1 01
988375 00E6 00 1 1 1 01
990375 00E6 00 1 1 1 01
992375 00E6 00 1 1 1 01
994375 00E6 00 1 1 1 01
996375 00E6 00 1 1 1 01
998375 00E6 00 1 1 1 01
1000375 00E6 00 1 1 1 01
1002375 00E6 00 1 1 1 11
1004375 00E7 00 0 1 1 00
1006375 00E7 00 1 1 1 01
1008375 00E7 00 1 1 1 01
1010375 00E7 00 1 1 1 01
1012375 00E7 00 1 1 1 01
1014375 00E7 00 1 1 1 01
1016375 00E7 00 1 1 1 01
1018375 00E7 00 1 1 1 01
1020375 00E7 00 1 1 1 01
1022375 00E7 00 1 1 1 01
1024375 00E7 00 1 1 1 01
1026375 00E7 00 1 1 1 01
1028375 00E7 00 1 1 1 01
1030375 00E7 00 1 1 1 01
1032375 00E7 00 1 1 1 01
1034375 00E7 00 1 1 1 01
1036375 00E7 00 1 1 1 01
1038375 00E7 00 1 1 1 01
1040375 00E7 00 1 1 1 01
1042375 00E7 00 1 1 1 01
1044375 00E7 00 1 1 1 01
1046375 00E7 00 1 1 1 01
1048375 00E7 00 1 1 1 01
1050375 00E7 00 1 1 1 01
1052375 00E7 00 1 1 1 01
1054375 00E7 00 1 1 1 01
1056375 00E7 00 1 1 1 01
1058375 00E7 00 1 1 1 01
1060375 00E7 00 1 1 1 01
